ptnum, x, y
 0, -8009453.8166807,  4892888.30727601
 0, -8008336.33929106,  4893004.63600344
 0, -8008065.05797971,  4893180.57061467
 0, -8007995.62282912,  4893408.64798339
 0, -8007920.18474015,  4893424.71117968
 0, -8007641.41868986,  4893484.0696351
 0, -8006880.56946121,  4893324.9343303
 0, -8006164.94419792,  4893043.55082341
 0, -8004401.20642234,  4893246.44533938
 0, -8003934.23199416,  4893080.29775203
 0, -8002192.00699833,  4893317.76078999
 0, -7999762.71192837,  4893371.63248844
 0, -7998035.80238801,  4893495.62566584
 0, -7996946.65101914,  4893524.85293147
 0, -7996669.92899835,  4893451.43598435
 0, -7995715.30391738,  4893424.2591374
 0, -7990891.24477323,  4893453.42145109
 0, -7990318.4451567,  4893795.64164965
 0, -7990566.07619781,  4894157.94738971
 0, -7990551.66374536,  4894414.62037859
 0, -7990062.72201197,  4894618.3479369
 0, -7989254.8619363,  4894636.94543661
 0, -7987975.8639064,  4894757.49469225
 0, -7986751.51699351,  4895673.99788584
 0, -7984718.48610861,  4895928.80575628
 0, -7983561.08769745,  4895965.72586168
 0, -7981038.01719694,  4896465.89440605
 0, -7980229.99171065,  4896407.36159691
 0, -7979632.25060975,  4896364.06838026
 0, -7978173.12023223,  4896110.68605412
 0, -7976295.38697095,  4895898.37078446
 0, -7975038.28196868,  4895822.89927825
 0, -7974045.29563922,  4895651.3653718
 0, -7973658.47083184,  4895524.73129585
 0, -7972917.4997558,  4895118.25378778
 0, -7971754.67675716,  4894658.92254978
 0, -7970978.67140863,  4894436.17739193
 0, -7970289.09576154,  4894320.10443363
 0, -7969320.9969054,  4894012.73241083
 0, -7968090.56485456,  4893514.76412731
 0, -7967262.73422845,  4893537.57364361
 0, -7966951.82270677,  4894060.42205069
 0, -7966986.11832091,  4894321.70298213
 0, -7966770.30857854,  4894464.97100237
 0, -7965891.61856345,  4894393.87815228
 0, -7965195.13660903,  4894103.06787516
 0, -7964629.61411409,  4894522.34980302
 0, -7963093.52101926,  4894698.33692438
 0, -7961451.46258355,  4894206.06059362
 0, -7959166.57691524,  4892714.92789244
 0, -7956830.34833639,  4890896.42379214
 0, -7955384.76393107,  4889924.84634341
 0, -7952945.61233744,  4888648.35858436
 0, -7952078.97847985,  4888512.65073084
 0, -7951548.11812522,  4888702.78001271
 0, -7950447.28654153,  4888234.31946398
 0, -7949748.62482736,  4888350.6383661
 0, -7949323.37267767,  4888678.56777785
 0, -7947215.12171295,  4887242.98256636
 0, -7945301.64003205,  4886357.73444919
 0, -7943271.45919428,  4885752.09163775
 0, -7937980.72928899,  4888915.22164929
 0, -7935402.80321131,  4890878.54054576
 0, -7934504.1623484,  4892148.29802697
 0, -7934491.86736934,  4892352.36926176
 0, -7935119.28636608,  4892348.37747134
 0, -7934596.54393784,  4892837.69537098
 0, -7932067.75361096,  4894160.78920086
 0, -7931603.87826609,  4894533.85927415
 0, -7931746.67597779,  4895571.59880342
 0, -7931019.64136396,  4896109.17618667
 0, -7928588.2534552,  4897011.8469528
 0, -7921000.31027219,  4901680.8639771
 0, -7918016.56534973,  4904300.60428189
 0, -7915695.65322932,  4906162.38062019
 0, -7914238.54788782,  4907129.38442791
 0, -7909292.22784499,  4911504.91969178
 0, -7907044.51523078,  4913780.092939
 0, -7906120.38466739,  4914523.6378329
 0, -7904725.48049405,  4915515.83955457
 0, -7903097.73008375,  4915740.33492452
 0, -7904858.0890601,  4912633.64278383
 0, -7903605.14346669,  4913263.50845751
 0, -7900611.02231488,  4915327.59886806
 0, -7894499.40099223,  4920003.87637333
 0, -7893391.46931079,  4920851.62022828
 0, -7893008.62789704,  4921278.88692146
 0, -7887466.2610548,  4925166.06935709
 0, -7885621.26907325,  4926149.84334867
 0, -7883945.61752846,  4927371.94908271
 0, -7882807.27487324,  4928276.71562035
 0, -7880987.57010645,  4930194.92328823
 0, -7876918.42504984,  4933185.96186586
 0, -7872994.57439347,  4937096.45404638
 0, -7872617.35547108,  4937299.43930384
 0, -7872675.36634592,  4936961.05889739
 0, -7870994.54187613,  4937866.31031358
 0, -7864216.40216559,  4942160.34989303
 0, -7861353.13767874,  4944444.29488754
 0, -7855791.20031871,  4947145.54030507
 0, -7853615.16267607,  4947118.73772386
 0, -7844694.86384825,  4948215.30492672
 0, -7843384.12222605,  4948523.36395074
 0, -7839547.95667607,  4949099.75057899
 0, -7836928.28946917,  4951590.71758881
 0, -7836712.50220817,  4950710.80152939
 0, -7839919.47857535,  4947556.71466683
 0, -7845881.66388679,  4946204.43351733
 0, -7858446.84449298,  4942035.03142112
 0, -7862463.33737988,  4938476.75440758
 0, -7865903.93639404,  4935885.87925131
 0, -7871745.09747971,  4930112.51061126
 0, -7874255.32618978,  4925722.95608154
 0, -7874229.3491724,  4924981.41191563
 0, -7872994.38743021,  4924554.24571492
 0, -7872491.26285271,  4924727.76979281
 0, -7868697.10942244,  4927306.30845083
 0, -7866312.1541288,  4929491.33325397
 0, -7865067.53164464,  4930467.66885264
 0, -7864277.94741104,  4930437.99009491
 0, -7864710.41530532,  4929939.9271013
 0, -7864498.60806342,  4929032.75955704
 0, -7856476.03417747,  4933166.91993653
 0, -7851113.59680542,  4933662.07071789
 0, -7846705.83024494,  4934236.0856192
 0, -7842414.20581441,  4934982.35923564
 0, -7833907.61111851,  4936956.05933273
 0, -7827979.48141075,  4937534.7075718
 0, -7825442.02207283,  4938008.28914054
 0, -7816681.9684912,  4947606.39616701
 0, -7813033.24013154,  4955466.73157697
 0, -7808820.90885206,  4957765.73794922
 0, -7807765.43157509,  4958341.79373003
 0, -7805151.59147547,  4961051.86737016
